drug_id,drug_name,category,form,strength,ndc,lot_number,manufacturer,location,quantity,daily_usage,reorder_point,reorder_quantity,cost_per_unit,total_value,expiration_date,expiry_ns,days_until_expiry,days_of_supply,below_reorder,expired
RX00001,Amoxicillin,Antibiotic,Tablet,25mg,28289-854-23,LOT809570,Pfizer,Pharmacy Main,51,165,2310,2310,0.73,37.23,2026-12-16,1797440211018893236,236,0,True,False
RX00002,Azithromycin,Antibiotic,Capsule,50mg,22280-323-39,LOT629903,Johnson & Johnson,ICU Satellite,712,191,2292,2674,0.93,662.16,2027-05-16,1810486611018893236,387,3,True,False
RX00003,Ciprofloxacin,Antibiotic,Injection,100mg,81426-529-38,LOT571029,Merck,ER Satellite,574,156,936,2184,2.77,1589.98,2028-03-12,1836493011018893236,688,3,True,False
RX00004,Doxycycline,Antibiotic,Oral Solution,250mg,46421-259-37,LOT900581,AbbVie,OR Satellite,26,152,760,2128,0.88,22.88,2028-02-22,1834851411018893236,669,0,True,False
RX00005,Vancomycin,Antibiotic,IV Bag,500mg,55082-718-43,LOT946335,Bristol-Myers Squibb,Oncology Satellite,94,88,792,1232,21.28,2000.32,2026-06-17,1781715411018893236,54,1,True,False
RX00006,Meropenem,Antibiotic,Patch,1000mg,82357-400-90,LOT748564,Novartis,Pediatrics Satellite,274,13,52,182,39.6,10850.4,2028-10-09,1854723411018893236,899,21,False,False
RX00007,Piperacillin-Tazobactam,Antibiotic,Inhaler,5mg/mL,96673-333-47,LOT183667,Roche,Pharmacy Main,4729,228,1368,3192,15.34,72542.86,2028-02-29,1835456211018893236,676,20,False,False
RX00008,Metronidazole,Antibiotic,Suspension,10mg/mL,93320-954-56,LOT270555,Sanofi,ICU Satellite,3549,220,880,3080,1.05,3726.45,2027-04-03,1806771411018893236,344,16,False,False
RX00009,Clindamycin,Antibiotic,Tablet,40mg,99593-763-19,LOT738720,GlaxoSmithKline,ER Satellite,858,96,1248,1344,6.06,5199.48,2026-12-08,1796749011018893236,228,8,True,False
RX00010,Trimethoprim-Sulfamethoxazole,Antibiotic,Capsule,80mg,93886-804-81,LOT330283,AstraZeneca,OR Satellite,1002,164,820,2296,0.91,911.82,2027-06-26,1814029011018893236,428,6,False,False
RX00011,Metformin,Antidiabetic,Injection,200mg,51347-510-44,LOT169403,Eli Lilly,Oncology Satellite,3452,177,531,2478,0.67,2312.84,2026-10-30,1793379411018893236,189,19,False,False
RX00012,Insulin Glargine,Antidiabetic,Oral Solution,400mg,94259-569-28,LOT377746,Amgen,Pediatrics Satellite,1288,56,336,784,72.43,93289.84,2028-01-10,1831136211018893236,626,23,False,False
RX00013,Insulin Lispro,Antidiabetic,IV Bag,25mg,66155-697-61,LOT479580,Gilead Sciences,Pharmacy Main,574,37,407,518,87.74,50362.76,2026-12-04,1796403411018893236,224,15,False,False
RX00014,Glipizide,Antidiabetic,Patch,50mg,24371-256-90,LOT267753,Baxter,ICU Satellite,521,58,580,812,0.93,484.53,2026-06-11,1781197011018893236,48,8,True,False
RX00015,Sitagliptin,Antidiabetic,Inhaler,100mg,71348-641-42,LOT680099,Fresenius Kabi,ER Satellite,4885,204,816,2856,18.3,89395.5,2027-04-08,1807203411018893236,349,23,False,False
RX00016,Empagliflozin,Antidiabetic,Suspension,250mg,44973-887-92,LOT456699,Hospira,OR Satellite,117,222,2886,3108,32.4,3790.8,2028-09-01,1851440211018893236,861,0,True,False
RX00017,Lisinopril,Antihypertensive,Tablet,500mg,44522-612-32,LOT632342,Mylan,Oncology Satellite,445,30,150,420,0.05,22.25,2027-06-17,1813251411018893236,419,14,False,False
RX00018,Amlodipine,Antihypertensive,Capsule,1000mg,30032-482-30,LOT665579,Teva,Pediatrics Satellite,1222,235,3055,3290,0.58,708.76,2027-08-11,1818003411018893236,474,5,True,False
RX00019,Losartan,Antihypertensive,Injection,5mg/mL,24662-471-49,LOT351083,Sandoz,Pharmacy Main,9,246,2952,3444,0.64,5.76,2027-02-04,1801760211018893236,286,0,True,False
RX00020,Metoprolol,Antihypertensive,Oral Solution,10mg/mL,19071-878-78,LOT903035,Hikma,ICU Satellite,40,16,64,224,0.37,14.8,2028-03-28,1837875411018893236,704,2,True,False
RX00021,Carvedilol,Antihypertensive,IV Bag,40mg,79163-993-87,LOT543692,Pfizer,ER Satellite,337,34,340,476,0.37,124.69,2027-09-23,1821718611018893236,517,9,True,False
RX00022,Hydralazine,Antihypertensive,Patch,80mg,36365-830-49,LOT518373,Johnson & Johnson,OR Satellite,3804,248,2728,3472,1.51,5744.04,2028-04-21,1839949011018893236,728,15,False,False
RX00023,Atorvastatin,Lipid-lowering,Inhaler,200mg,25860-353-38,LOT167136,Merck,Oncology Satellite,3059,173,1730,2422,0.56,1713.04,2028-09-16,1852736211018893236,876,17,False,False
RX00024,Rosuvastatin,Lipid-lowering,Suspension,400mg,10942-172-90,LOT161733,AbbVie,Pediatrics Satellite,301,88,968,1232,0.93,279.93,2026-10-31,1793465811018893236,190,3,True,False
RX00025,Simvastatin,Lipid-lowering,Tablet,25mg,46500-785-72,LOT324643,Bristol-Myers Squibb,Pharmacy Main,16,60,480,840,0.44,7.04,2026-05-21,1779382611018893236,27,0,True,False
RX00026,Omeprazole,GI,Capsule,50mg,71993-926-62,LOT299659,Novartis,ICU Satellite,1481,140,1680,1960,0.53,784.93,2027-10-21,1824137811018893236,545,10,True,False
RX00027,Pantoprazole,GI,Injection,100mg,71213-984-16,LOT806073,Roche,ER Satellite,168,26,234,364,0.58,97.44,2027-03-07,1804438611018893236,317,6,True,False
RX00028,Ondansetron,GI,Oral Solution,250mg,24322-354-34,LOT299448,Sanofi,OR Satellite,806,169,507,2366,3.05,2458.3,2027-04-26,1808758611018893236,367,4,False,False
RX00029,Metoclopramide,GI,IV Bag,500mg,42742-995-19,LOT564656,GlaxoSmithKline,Oncology Satellite,1148,139,1251,1946,0.53,608.44,2026-09-13,1789318611018893236,142,8,True,False
RX00030,Famotidine,GI,Patch,1000mg,11934-195-40,LOT274389,AstraZeneca,Pediatrics Satellite,802,208,624,2912,2.0,1604.0,2028-01-06,1830790611018893236,622,3,False,False
RX00031,Morphine,Analgesic,Inhaler,5mg/mL,17685-268-58,LOT102260,Eli Lilly,Pharmacy Main,1971,106,636,1484,3.81,7509.51,2028-08-11,1849625811018893236,840,18,False,False
RX00032,Oxycodone,Analgesic,Suspension,10mg/mL,82845-777-72,LOT262316,Amgen,ICU Satellite,1897,101,1010,1414,3.0,5691.0,2026-12-27,1798390611018893236,247,18,False,False
